flare_date,flare_longitude,flare_magnitude,flare_class,cme_date,cme_speed,cme_width,peak_flux_10,peak_flux_30,peak_flux_100
1984-01-31 12:56:00,59.0,1.2e-05,M1.2,,,,3.99,,
1984-05-21 02:18:00,90.0,5.7e-05,M5.7,,,,3.11,,
1984-05-22 14:53:00,-24.0,6.3e-05,M6.3,,,,13.56,,
1986-02-04 07:35:00,-21.0,0.00030000000000000003,X3,,,,6.27,1.82,
1986-02-05 12:37:00,-6.0,3.0000000000000004e-05,M3,,,,6.47,1.35,
1986-02-14 09:10:00,76.0,6.400000000000001e-05,M6.4,,,,166.57,17.62,1.09
1987-12-30 01:42:00,-32.0,4.1e-06,C4.1,,,,7.34,,
1988-07-25 19:28:00,-50.0,1.5000000000000002e-05,M1.5,,,,2.12,,
1988-11-08 12:28:00,7.0,3e-06,C3,,,,6.7,2.38,0.57
1988-12-14 10:44:00,-30.0,7.2e-06,C7.2,,,,3.68,1.86,0.64
1988-12-16 08:38:00,-37.0,0.00047000000000000004,X4.7,,,,12.39,2.44,0.86
1989-05-05 07:23:00,-1.0,0.00024,X2.4,,,,41.15,,
1989-05-06 16:55:00,-59.0,4.2000000000000004e-05,M4.2,,,,18.29,,
1989-06-29 02:54:00,28.0,7.2999999999999996e-06,C7.3,,,,4.79,,
1989-09-03 14:28:00,-16.0,0.00012,X1.2,,,,16.77,,
1989-09-13 03:29:00,-6.0,3.6e-05,M3.6,,,,25.6,2.08,
1989-10-19 12:29:00,-10.0,0.0013000000000000002,X13,,,,33667.42,4602.76,287.19
1989-11-08 18:56:00,57.0,9.800000000000001e-05,M9.8,,,,14.24,,
1989-11-25 22:55:00,-5.0,0.0001,X1,,,,140.78,3.64,
1989-11-30 11:45:00,52.0,0.0002,X2,,,,2857.19,111.23,0.88
1990-03-19 04:39:00,43.0,0.00015000000000000001,X1.5,,,,697.29,20.51,
1990-03-28 07:31:00,37.0,4.2000000000000004e-05,M4.2,,,,2.14,,
1990-04-07 15:11:00,-62.0,9.499999999999999e-06,C9.5,,,,15.31,,
