flare_date,flare_longitude,flare_magnitude,flare_class,cme_date,cme_speed,cme_width,peak_flux_10,peak_flux_30,peak_flux_100,peak_flux_300
2015-06-09 19:55:00,-24.0,2.8e-06,C2.8,2015-06-09 20:12:00,1036.0,262.0,1.773,1.082,0.5227,0.2352
2015-06-10 01:31:00,33.0,2.5e-06,C2.5,2015-06-10 00:48:00,812.0,111.0,1.773,1.082,0.5834,0.271
2015-06-10 12:32:00,34.0,3.3e-06,C3.3,2015-06-10 14:12:00,436.0,45.0,1.756,1.145,0.5962,0.2947
2015-06-11 02:31:00,43.0,4.6e-06,C4.6,2015-06-11 04:24:00,363.0,112.0,1.756,1.173,0.5962,0.3216
2015-06-12 01:49:00,58.0,4.1e-06,C4.1,2015-06-12 02:36:00,319.0,74.0,1.853,1.215,0.6691,0.3461
2015-06-12 11:53:00,63.0,3e-06,C3.0,2015-06-12 12:12:00,356.0,10.0,1.853,1.163,0.5894,0.2776
2015-06-13 02:25:00,72.0,5.9e-06,C5.9,2015-06-13 05:00:00,334.0,95.0,1.802,1.116,0.5818,0.2758
2015-06-15 07:50:00,70.0,1.7e-06,C1.7,2015-06-15 11:48:00,190.0,19.0,1.713,1.142,0.54,0.258
2015-06-17 05:46:00,-71.0,1.6e-06,C1.6,2015-06-17 06:48:00,556.0,50.0,3.319,1.357,0.5566,0.2442
2015-06-17 16:42:00,-63.0,1e-06,C1.0,2015-06-17 20:36:00,124.0,14.0,4.763578066914499,2.125,0.5869,0.2872
2015-06-18 05:47:00,-55.0,2.8e-06,C2.8,2015-06-18 09:36:00,189.0,35.0,9.4325625,2.125,0.5869,0.2872
2015-06-18 13:05:00,-47.0,3.5e-06,C3.5,2015-06-18 14:00:00,382.0,18.0,16.3,2.029,0.5723,0.267
2015-06-18 21:34:00,-50.0,3.2e-06,C3.2,2015-06-18 22:22:00,330.0,35.0,13.0,1.794,0.67,0.11084677130044841
2015-06-19 15:31:00,-37.0,1.8e-06,C1.8,2015-06-19 20:57:00,94.0,48.0,5.568,1.411,0.67,0.3411
2015-06-20 06:28:00,-25.0,1e-05,M1.0,2015-06-20 07:36:00,435.0,56.0,3.681,1.231,0.6188,0.2988
2015-06-21 01:02:00,-16.0,2e-05,M2.0,2015-06-21 02:36:00,1366.0,360.0,83.48,2.374,0.6659,0.3436
2015-06-22 02:15:00,11.0,3.2e-06,C3.2,2015-06-22 04:00:00,295.0,35.0,9.0,2.9,0.6041,0.2824
2015-06-22 07:35:00,-2.0,1.6e-06,C1.6,2015-06-22 11:24:00,201.0,33.0,9.0,2.9,0.5045,0.2111
